Year,Title,Worldwide Gross
2013,Star Trek Into Darkness,"$467,365,246"
1999,The Matrix,"$466,364,682"
2021,Godzilla vs. Kong,"$465,763,133"
8251556700,The Lion King,1997
8251556700,,
8251556700,,
6060000000,The Phantom of the Opera,1986
6060000000,,
6060000000,,
4000000000,Mamma Mia!,1999
3565624091,Cats,1981
3565624091,,
3565624091,,
3530000000,Wicked,2003
3530000000,,
3530000000,,
2708535588,Les Misérables,1980
2708535588,,
2708535588,,
1636259976,Miss Saigon,1989
1636259976,,
1636259976,,
1644848098,Jersey Boys,2004
1644848098,,
1644848098,,
1600000000,Beauty and the Beast,1993
1600000000,,
1600000000,,
1200000000,Starlight Express,1984
1200000000,,
1200000000,,
2017,It,"$700,381,759"
1999,The Sixth Sense,"$672,806,292"
2007,I Am Legend,"$585,349,010"
2017,Kong: Skull Island,"$566,652,812"
2005,King Kong,"$562,363,449"
2013,World War Z,"$540,007,876"
2018,The Meg,"$530,243,742"
2020,Demon Slayer: Mugen Train,"$503,048,471"
2019,It Chapter Two,"$473,093,228"
1975,Jaws,"$470,653,000"
1973,The Exorcist,"$441,306,145"
2001,The Mummy Returns,"$433,013,274"
1999,The Mummy,"$415,933,406"
2017,The Mummy,"$409,231,607"
2002,Signs,"$408,247,917"
2012,Prometheus,"$403,354,469"
2008,The Mummy: Tomb of the Dragon Emperor,"$401,128,639"
2019,Godzilla: King of the Monsters,"$385,900,138"
2018,The Nun,"$365,550,119"
2001,Hannibal,"$351,692,268"
2018,A Quiet Place,"$340,939,361"
2016,The Conjuring 2,"$320,392,818"
2013,The Conjuring,"$319,494,638"
2017,Resident Evil: The Final Chapter,"$312,242,626"
2017,Annabelle: Creation,"$306,515,884"
2004,Van Helsing,"$300,257,475"
2010,Resident Evil: Afterlife,"$300,228,084"
2021,A Quiet Place Part II,"$296,324,169"
2010,Shutter Island,"$294,804,195"
2017,Split,"$278,454,358"
2000,Scary Movie,"$278,019,771"
1991,The Silence of the Lambs,"$272,742,922"
2014,Annabelle,"$257,047,661"
2004,The Village,"$256,697,520"
2018,Halloween,"$255,498,536"
2017,Get Out,"$255,407,663"
2019,Us,"$254,732,150"
1999,The Blair Witch Project,"$248,639,099"
2002,The Ring,"$248,218,486"
2000,Unbreakable,"$248,118,121"
2019,Glass,"$246,985,576"
2012,Dark Shadows,"$245,527,149"
2017,Alien: Covenant,"$240,891,763"
2012,Resident Evil: Retribution,"$240,004,424"
2005,Constantine,"$230,884,728"
2019,Annabelle Comes Home,"$228,552,591"
1994,Interview with the Vampire,"$223,664,608"
2019,Frozen II,"$1,450,026,933"
2011,Harry Potter and the Deathly Hallows – Part 2,"$1,342,321,665"
2013,Frozen,"$1,290,000,000"
2017,Beauty and the Beast,"$1,263,521,126"
2003,The Lord of the Rings: The Return of the King,"$1,146,030,912"
2006,Pirates of the Caribbean: Dead Man's Chest,"$1,066,179,725"
2019,Aladdin,"$1,050,693,953"
2011,Pirates of the Caribbean: On Stranger Tides,"$1,045,713,802"
2010,Alice in Wonderland,"$1,025,467,110"
2012,The Hobbit: An Unexpected Journey,"$1,017,003,568"
2001,Harry Potter and the Philosopher's Stone,"$1,006,968,171"
2010,Harry Potter and the Deathly Hallows – Part 1,"$976,941,486"
2016,The Jungle Book,"$966,554,929"
2017,Jumanji: Welcome to the Jungle,"$962,542,945"
2007,Pirates of the Caribbean: At World's End,"$960,996,492"
2013,The Hobbit: The Desolation of Smaug,"$958,366,855"
2014,The Hobbit: The Battle of the Five Armies,"$956,019,788"
2002,The Lord of the Rings: The Two Towers,"$947,495,095"
2007,Harry Potter and the Order of the Phoenix,"$942,172,396"
2009,Harry Potter and the Half-Blood Prince,"$934,454,096"
2004,Shrek 2,"$919,838,758"
2001,The Lord of the Rings: The Fellowship of the Ring,"$897,690,072"
2005,Harry Potter and the Goblet of Fire,"$896,678,241"
2002,Harry Potter and the Chamber of Secrets,"$879,602,366"
2012,The Twilight Saga: Breaking Dawn – Part 2,"$829,747,654"
2016,Fantastic Beasts and Where to Find Them,"$814,044,001"
2007,Shrek the Third,"$813,367,380"
2017,Coco,"$807,817,888"
2019,Jumanji: The Next Level,"$800,059,707"
2004,Harry Potter and the Prisoner of Azkaban,"$797,361,618"
2017,Pirates of the Caribbean: Dead Men Tell No Tales,"$794,881,442"
2014,Maleficent,"$758,411,779"
2010,Shrek Forever After,"$752,600,867"
2006,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","$745,013,115"
2009,Up,"$735,099,102"
2011,The Twilight Saga: Breaking Dawn – Part 1,"$712,171,856"
2009,The Twilight Saga: New Moon,"$709,827,462"
2010,The Twilight Saga: Eclipse,"$698,491,347"
2003,Pirates of the Caribbean: The Curse of the Black Pearl,"$654,264,015"
2018,Fantastic Beasts: The Crimes of Grindelwald,"$654,855,901"
2019,How to Train Your Dragon 2,"$621,537,519"
2006,Night at the Museum,"$574,481,229"
2015,Cinderella,"$542,358,331"
1992,Aladdin,"$504,050,219"
2020,Demon Slayer: Kimetsu no Yaiba the Movie: Mugen Train,"$500,000,000"
2010,How to Train Your Dragon,"$494,879,471"
2013,Oz the Great and Powerful,"$493,311,825"
2010,Clash of the Titans,"$493,214,993"
2019,Maleficent: Mistress of Evil,"$491,730,089"
1989,Indiana Jones and the Last Crusade,"$474,171,806"
2015,Minions,"$1,159,398,397"
2019,Toy Story 4,"$1,073,394,593"
2010,Toy Story 3,"$1,066,970,811"
2017,Despicable Me 3,"$1,035,799,409"
2013,Despicable Me 2,"$970,761,885"
2016,The Secret Life of Pets,"$875,457,937"
2015,Inside Out,"$858,848,019"
2021,"Hi, Mom","$807,710,000"
2007,Shrek the Third,"$798,958,162"
2012,Madagascar 3: Europe's Most Wanted,"$746,921,274"
2013,Monsters University,"$743,559,645"
2021,Detective Chinatown 3,"$702,700,000"
2007,Ratatouille,"$623,726,085"
2008,Madagascar: Escape 2 Africa,"$603,900,354"
2010,Tangled,"$593,171,580"
2011,The Hangover Part II,"$586,764,305"
2001,"Monsters, Inc.","$579,707,738"
2011,Puss in Boots,"$554,987,477"
2016,The Mermaid,"$553,810,228"
2012,Ted,"$549,368,315"
2018,Detective Chinatown 2,"$544,185,156"
2010,Despicable Me,"$543,113,985"
2005,Madagascar,"$532,680,671"
2018,Ralph Breaks the Internet,"$529,323,962"
2018,Hotel Transylvania 3: Summer Vacation,"$528,583,774"
2007,The Simpsons Movie,"$527,071,022"
2004,Meet the Fockers,"$522,657,936"
1999,Toy Story 2,"$497,375,381"
2011,The Intouchables,"$484,873,045"
2004,Bruce Almighty,"$484,592,874"
2001,Shrek,"$484,409,218"
1990,Home Alone,"$477,063,114"
2015,Hotel Transylvania 2,"$474,800,000"
2012,Wreck-It Ralph,"$471,222,889"
2009,The Hangover,"$469,310,836"
2014,The Lego Movie,"$468,060,692"
2006,Cars,"$461,983,149"
2002,Men in Black II,"$441,818,803"
1993,Mrs. Doubtfire,"$441,286,195"
2019,The Secret Life of Pets 2,"$430,051,293"
2008,Sex and the City,"$418,765,321"
2018,The Grinch,"$511,595,957"
1990,Home Alone,"$476,700,000"
2000,Dr. Seuss' How the Grinch Stole Christmas!,"$345,141,403"
2009,A Christmas Carol,"$325,286,646"
2004,The Polar Express,"$314,215,454"
2003,Elf,"$220,885,524"
2006,The Holiday,"$205,135,175"
1994,The Santa Clause,"$189,833,357"
2018,The Nutcracker and the Four Realms,"$173,961,069"
2002,The Santa Clause 2,"$172,855,065"
2008,Four Christmases,"$163,733,697"
2011,Arthur Christmas,"$147,419,472"
2017,A Bad Moms Christmas,"$130,560,428"
1996,Jingle All the Way,"$129,832,389"
2019,Last Christmas,"$121,550,750"
2016,Office Christmas Party,"$114,501,299"
2006,The Santa Clause 3: The Escape Clause,"$110,768,122"
2007,Fred Claus,"$97,838,349"
2004,Christmas with the Kranks,"$96,593,018"
1993,The Nightmare Before Christmas,"$88,171,091"
2003,Bad Santa,"$76,488,889"
2013,The Best Man Holiday,"$72,835,710"
1989,National Lampoon's Christmas Vacation,"$71,319,526"
2017,The Star,"$62,812,974"
2015,Krampus,"$61,548,707"
1988,Scrooged,"$60,328,558"
2015,A Madea Christmas,"$53,396,354"
2007,This Christmas,"$49,778,552"
2006,Deck the Halls,"$47,231,070"
1994,Miracle on 34th Street,"$46,264,384"
2016,Almost Christmas,"$42,580,920"
2016,Love the Coopers,"$42,426,912"
2019,Avengers: Endgame,"$1,223,641,414"
2018,Avengers: Infinity War,"$640,521,291"
2017,The Fate of the Furious,"$541,937,239"
2015,Star Wars: The Force Awakens,"$528,966,675"
2015,Jurassic World,"$525,504,128"
2011,Harry Potter and the Deathly Hallows – Part 2,"$483,189,427"
2019,Captain Marvel,"$456,718,598"
2017,Star Wars: The Last Jedi,"$450,821,889"
2016,Batman v Superman: Dawn of Justice,"$422,507,347"
2021,Detective Chinatown 3,"$400,445,938"
2015,Furious 7,"$397,627,459"
2009,Harry Potter and the Half-Blood Prince,"$394,022,354"
2012,The Avengers,"$392,538,708"
2015,Avengers: Age of Ultron,"$392,471,109"
2011,Transformers: Dark of the Moon,"$382,425,000"
2007,Spider-Man 3,"$381,660,892"
2016,Captain America: Civil War,"$379,539,142"
2019,Star Wars: The Rise of Skywalker,"$376,150,780"
2013,Iron Man 3,"$372,553,677"
2018,Black Panther,"$371,367,531"
2019,Frozen II,"$358,503,293"
2017,Beauty and the Beast,"$357,026,593"
2011,Pirates of the Caribbean: On Stranger Tides,"$350,653,677"
2007,Pirates of the Caribbean: At World's End,"$343,972,864"
2012,The Twilight Saga: Breaking Dawn – Part 2,"$340,667,634"
2007,Harry Potter and the Order of the Phoenix,"$332,715,157"
2010,Harry Potter and the Deathly Hallows – Part 1,"$330,017,372"
2005,Star Wars: Episode III – Revenge of the Sith,"$303,949,700"
2014,Transformers: Age of Extinction,"$302,138,390"
2018,Deadpool 2,"$300,386,357"
2018,Jurassic World: Fallen Kingdom,"$298,924,610"
2019,Spider-Man: Far From Home,"$295,800,000"
2011,The Twilight Saga: Breaking Dawn – Part 1,"$291,022,261"
2016,Rogue One: A Star Wars Story,"$290,049,210"
2017,Justice League,"$278,842,239"
2009,The Twilight Saga: New Moon,"$274,939,137"
2014,The Hunger Games: Mockingjay – Part 1,"$273,897,634"
2008,Indiana Jones and the Kingdom of the Crystal Skull,"$272,150,927"
2017,Pirates of the Caribbean: Dead Men Tell No Tales,"$271,809,637"
2016,Suicide Squad,"$266,982,248"
2016,Deadpool,"$264,711,361"
2014,X-Men: Days of Future Past,"$262,866,321"
2017,Spider-Man: Homecoming,"$256,535,853"
2018,Fantastic Beasts: The Crimes of Grindelwald,"$253,663,104"
2017,Guardians of the Galaxy Vol. 2,"$252,522,752"
2003,The Lord of the Rings: The Return of the King,"$250,000,534"
2012,The Dark Knight Rises,"$248,887,295"
2019,Joker,"$248,402,337"
2017,Logan,"$247,444,337"
2015,The Hunger Games: Mockingjay – Part 2,"$247,158,007"
2011,The Muppets,"$165,184,237"
2014,Muppets Most Wanted,"$80,383,290"
1979,The Muppet Movie,"$65,810,475"
2004,Team America: World Police,"$50,907,422"
1982,The Dark Crystal,"$41,613,957"
1996,Muppet Treasure Island,"$34,327,391"
1981,The Great Muppet Caper,"$31,206,251"
2018,The Happytime Murders,"$27,506,452"
1992,The Muppet Christmas Carol,"$27,281,507"
1984,The Muppets Take Manhattan,"$25,534,703"
1999,Being John Malkovich,"$22,863,596"
1999,Muppets from Space,"$22,323,612"
1985,Sesame Street Presents: Follow that Bird,"$13,961,370"
1986,Labyrinth,"$13,723,253"
1998,Barney's Great Adventure,"$12,218,638"
1999,The Adventures of Elmo in Grouchland,"$11,683,047"
2011,The Beaver,"$7,293,205"
1996,Mystery Science Theater 3000: The Movie,"$1,007,306"
2012,Being Elmo: A Puppeteer's Journey,"$304,052"
1998,Still Breathing,"$228,455"
1989,Meet the Feebles,"$80,000"
2002,Dummy,"$71,646"
2020,Demon Slayer: Mugen Train,"$503,063,688"
2001,Spirited Away,"$395,580,000"
2016,Your Name,"$380,140,500"
2004,Howl's Moving Castle,"$236,214,446"
2008,Ponyo,"$204,826,668"
2019,Weathering with You,"$193,715,360"
2014,Stand by Me Doraemon,"$183,442,714"
1997,Princess Mononoke,"$169,785,704"
1998,Pokémon: The First Movie,"$163,644,662"
2010,The Secret World of Arrietty,"$149,411,550"
2013,The Wind Rises,"$136,533,257"
1999,Pokémon: The Movie 2000,"$133,949,270"
2018,Dragon Ball Super: Broly,"$115,757,940"
2019,Detective Conan: The Fist of Blue Sapphire,"$115,570,314"
2018,Detective Conan: Zero the Enforcer,"$101,860,359"
2014,Yo-kai Watch: The Movie,"$99,481,307"
2021,Detective Conan: The Scarlet Bullet,"$95,659,979"
2019,One Piece: Stampede,"$93,000,000"
2021,Evangelion: 3.0+1.0 Thrice Upon a Time,"$92,246,218"
2018,Doraemon the Movie: Nobita's Treasure Island,"$80,920,916"
2006,Tales from Earthsea,"$75,500,000"
2012,One Piece Film: Z,"$74,223,861"
2010,Pokémon Zoroark: Master of Illusions,"$71,143,529"
2000,Pokémon 3: The Movie,"$68,411,275"
2016,Detective Conan: The Darkest Nightmare,"$66,265,957"
2016,One Piece Film: Gold,"$66,207,073"
2019,Doraemon: Nobita's Chronicle of the Moon Exploration,"$65,406,606"
2020,Stand by Me Doraemon 2,"$65,066,630"
2017,Detective Conan: The Crimson Love Letter,"$63,147,576"
2015,Dragon Ball Z: Resurrection 'F',"$61,768,190"
2011,From Up on Poppy Hill,"$61,487,846"
2009,Doraemon: The Record of Nobita's Spaceblazer,"$61,482,349"
2017,Doraemon: Nobita's Great Adventure in the Antarctic Kachi Kochi,"$61,153,455"
2012,Evangelion: 3.0 You Can (Not) Redo,"$60,648,662"
2012,Wolf Children,"$55,060,661"
2002,The Cat Returns,"$54,505,662"
2015,"Yo-kai Watch: Enma Daiō and the Five Tales, Meow!","$53,396,284"
2011,Pokémon: Black and White,"$53,387,786"
2015,Detective Conan: Sunflowers of Inferno,"$52,920,296"
2016,Doraemon: Nobita and the Birth of Japan 2016,"$50,939,840"
2009,Pokémon: Arceus and the Jewel of Life,"$50,673,078"
2013,Dragon Ball Z: Battle of Gods,"$50,461,371"
2009,One Piece Film: Strong World,"$49,271,461"
1988,Akira,"$49,000,000"
2012,Doraemon: Nobita and the Island of Miracles—Animal Adventure,"$46,180,706"
2012,Detective Conan: The Eleventh Striker,"$44,369,456"
2012,Pokémon the Movie: Kyurem vs. the Sword of Justice,"$44,057,737"
2008,Pokémon: Giratina & the Sky Warrior,"$43,338,599"
1978,Farewell to Space Battleship Yamato,"$43,000,000"
2011,Detective Conan: Quarter of Silence,"$42,808,575"
1981,In-Laws,"469,290,000"
1980,Mysterious Buddha,"403,210,000"
1997,Titanic,"362,433,457"
2019,Avengers: Endgame,"349,236,385"
1977,Star Wars,"338,400,000"
1971,Caravan,"319,000,000"
2009,Avatar,"312,171,107"
1982,Shaolin Temple,"304,920,000"
1979,Gunshots in the CIB,"300,000,000"
1939,Gone with the Wind,"288,788,933"
1965,The Sound of Music,"283,300,000"
1982,E.T. the Extra-Terrestrial,"276,700,000"
2018,Avengers: Infinity War,"263,645,063"
1956,The Ten Commandments,"262,000,000"
1965,Doctor Zhivago,"248,200,000"
1975,Jaws,"242,800,000"
2015,Star Wars: The Force Awakens,"238,331,656"
1951,Awaara,"217,100,000"
2019,The Lion King,"217,000,251"
1973,The Exorcist,"214,900,000"
1961,One Hundred and One Dalmatians,"199,800,000"
2015,Jurassic World,"194,676,219"
2015,Furious 7,"185,850,150"
1993,Jurassic Park,"176,731,843"
2019,Frozen II,"176,163,113"
1959,Ben-Hur,"168,912,166"
2012,The Avengers,"166,364,883"
2015,Avengers: Age of Ultron,"166,066,668"
1937,Snow White and the Seven Dwarfs,"165,592,013"
1975,Sholay,"160,021,329"
2017,Wolf Warrior 2,"159,322,273"
2018,Incredibles 2,"158,641,697"
2001,Harry Potter and the Philosopher's Stone,"157,928,814"
1999,Star Wars: Episode I – The Phantom Menace,"157,000,804"
2018,Black Panther,"149,484,970"
1994,The Lion King,"144,602,914"
2013,Frozen,"142,896,060"
2003,The Lord of the Rings: The Return of the King,"142,573,659"
1974,The Red Snowball Tree,"140,000,000"
1980,Romance on Lushan Mountain,"140,000,000"
1967,The Jungle Book,"137,915,958"
2011,Harry Potter and the Deathly Hallows – Part 2,"137,797,053"
1982,Disco Dancer,"135,000,000"
2006,Pirates of the Caribbean: Dead Man's Chest,"134,528,334"
2002,The Lord of the Rings: The Two Towers,"130,420,246"
1980,Star Wars: Episode V – The Empire Strikes Back,"129,984,978"
1972,The Godfather,"128,176,173"
1983,Star Wars: Episode VI – Return of the Jedi,"126,255,825"
2017,Star Wars: Episode VIII – The Last Jedi,"126,062,216"
2002,Spider-Man,"125,026,496"
2003,Finding Nemo,"124,728,882"
2017,Beauty and the Beast,"123,766,498"
2016,The Jungle Book,"123,663,450"
1973,The Sting,"123,048,854"
2004,Shrek 2,"123,023,527"
1965,Thunderball,"122,235,389"
2012,The Dark Knight Rises,"121,771,548"
1996,Independence Day,"120,752,312"
1978,Superman: The Movie,"117,872,453"
1978,Grease,"117,075,584"
1963,Cleopatra,"116,470,333"
1973,Bobby,"116,400,000"
2008,The Dark Knight,"115,688,414"
2016,Rogue One: A Star Wars Story,"111,452,976"
2019,Aladdin,"106,787,769"
1964,Mary Poppins,"105,507,268"
2017,Baahubali 2: The Conclusion,"105,003,001"
2004,Spider-Man 2,"104,531,972"
2019,The Wandering Earth,"104,027,044"
1999,The Sixth Sense,"103,747,446"
1981,Raiders of the Lost Ark,"103,498,886"
1982,First Blood,"101,187,271"
1960,The Magnificent Seven,"100,923,583"
1994,Forrest Gump,"100,522,518"
1964,Goldfinger,"100,150,318"
1960,Mughal-e-Azam,"100,041,453+"
1957,Mother India,"100,011,812"
1962,Amphibian Man,"100,000,000"
2005,Star Wars: Episode III – Revenge of the Sith,"98,302,094"
2016,The Mermaid,"98,210,062"
1974,The Towering Inferno,"96,183,040"
2018,Operation Red Sea,"93,789,447"
1967,The Graduate,"92,191,889"
1978,Muqaddar Ka Sikandar,"91,800,000"
1971,Yesenia,"91,400,000"
2004,The Passion of the Christ,"91,129,404"
1962,Lawrence of Arabia,"91,030,692"
1970,Love Story,"90,966,483"
1985,Back to the Future,"90,184,478"
2018,Bohemian Rhapsody,"90,113,235"
2004,Harry Potter and the Prisoner of Azkaban,"89,937,421"
2018,Dying to Survive,"88,570,571"
1940,Fantasia,"87,649,246"
1980,Pirates of the 20th Century,"87,600,000"
1992,Aladdin,"87,527,699"
2018,Detective Chinatown 2,"87,216,860"
2016,Dangal,"86,373,229"
2016,Finding Dory,"85,224,421"
1976,King Kong,"85,401,190"
1942,Bambi,"84,879,233"
1950,Cinderella,"84,458,172"
1980,Moscow Does Not Believe in Tears,"84,400,000"
1961,Ganga Jamna,"83,800,000"
1940,Pinocchio,"83,739,255"
1952,The Greatest Show on Earth,"82,490,000"
1984,Ghostbusters,"82,375,218"
1984,Beverly Hills Cop,"81,716,713"
1990,Home Alone,"81,491,808"
2004,The Incredibles,"81,434,649"
1946,The Best Years of Our Lives,"80,090,000"
1983,Staying Alive,
1984,Bolero,
1987,Jaws: The Revenge,
1987,Police Academy 4: Citizens on Patrol,
1988,Return of the Living Dead Part II,
1990,Problem Child,
1991,Highlander 2: The Quickening,
1991,Return to the Blue Lagoon,
1992,Folks!,
1993,Look Who's Talking Now!,
1994,A Low Down Dirty Shame,
1994,Wagons East,
1999,Simon Sez,
2000,3 Strikes,
2002,Ballistic: Ecks vs. Sever,
2002,Killing Me Softly,
2002,Merci Docteur Rey,
2002,Pinocchio,
2003,National Lampoon's Gold Diggers,
2004,Superbabies: Baby Geniuses 2,
2005,Constellation,
2007,Redline,
2008,One Missed Call,
2009,Homecoming,
2009,Stolen,
2009,Transylmania,
2010,The Nutcracker in 3D,
2012,Dark Tide,
2012,A Thousand Words,
2015,The Ridiculous 6,
2016,Cabin Fever,
2016,Dark Crimes,
2016,The Disappointments Room,
2016,Max Steel,
2016,Precious Cargo,
2017,Stratton,
2018,Gotti,
2018,London Fields,
2020,John Henry,
2020,The Last Days of American Crime,
2020,Hard Kill,
